,Product,Ratings,Reviews
1,"Bluetooth Headphones, Otium Wireless Sports Earphones w/ Mic IPX7...",3.0 out of 5 stars,Sound quality is really good - but the build feels overly cheap even at this price point. Feels like it would break after a few weeks of use. Ended up returning and picking up one of the competitors for a few more bucks but feels far more durable.
2,"Bluetooth Headphones, Otium Wireless Sports Earphones w/ Mic IPX7...",3.0 out of 5 stars,"They're good, but they have an odd effect on the bluetooth capacity of the iPhone7. The phone could not detect the earbuds until I reset them AND forgot the other bluetooth devices that had been paired with my phone. Then, my phone couldn't detect my bluetooth headphones until I made it forget the earbuds. Basically, the phone can never have both in memory and whenever I want to switch back to the earbuds I ALSO have to reset them, which is annoying. It's 2018 people. This should be easy.
Another stupid thing is that the instructions for the reset are useless. I had to contact customer service and the instructions he gave me were not the ones given in the manual but they worked. Update the manual so that customers don't have to go out of their way to extract information from the company."
3,"Bluetooth Headphones, Otium Wireless Sports Earphones w/ Mic IPX7...",2.0 out of 5 stars,"Okay, not great. The chord behind the neck catches on my shirt and when I turn my head, they will yank in my ear so that's uncomfortable, I'm not sure if this is an issue with just these or any other similar style, I have not tried any others.

Pairing can be a bit of a pain. I was unable to reliably use them with my windows 8 laptop. And if you're thinking about pairing with laptop and phone and being able to switch between the two, forget about it."
4,"Bluetooth Headphones, Otium Wireless Sports Earphones w/ Mic IPX7...",5.0 out of 5 stars,This is my first pair or wireless and they are great. I use solely for the gym and keep around the back of my neck. Completely out of the way and stay in ears. Only thing is it messes up calls - sometimes they go onto speaker but not into earphones. Only sometimes so I can’t figure out why. But great earphone
5,"Bluetooth Headphones, Otium Wireless Sports Earphones w/ Mic IPX7...",3.0 out of 5 stars,"Comfortable and reasonable sound quality. My main gripe is the terrible short battery life. My bad, but when running a half marathon they (being fully charged when I started) gave up after 90 minutes with ""low battery"". Would trade a litle more size for a bit more reasonable battery life."
6,"Bluetooth Headphones, Otium Wireless Sports Earphones w/ Mic IPX7...",5.0 out of 5 stars,"Love these. Easy to set up. Nice and light, sounds pretty good for such a low price. I like the shape of the ear pieces, they stay in my ear great. I love the case that comes with it."
7,"Bluetooth Headphones, Otium Wireless Sports Earphones w/ Mic IPX7...",5.0 out of 5 stars,"I was surprised by how well these work. They are fine for audio or for voice calls, and the battery lasts several hours of use on a charge.

Note: the headphones cannot be used while charging.

The cable could be thicker - just for durability - but I'm fairly satisfied already."
8,"Bluetooth Headphones, Otium Wireless Sports Earphones w/ Mic IPX7...",5.0 out of 5 stars,"The sound quality is very good for phone calls and music, and the charge lasts forever. It also recharges quickly. For the price it exceeds expectations."
9,"Bluetooth Headphones, Otium Wireless Sports Earphones w/ Mic IPX7...",2.0 out of 5 stars,These headphones are alright. They keep falling out of my ears and cant seem to get them to stay put
0,"Bluetooth Headphones, Otium Wireless Sports Earphones w/ Mic IPX7...",2.0 out of 5 stars,The audio quality for running is good. I charge it every 2 runs. For me the audio control button pulls to the right side when the cord is resting on my neck. It's a little off balanced because there's more weight on the right side of the control than the left. I feel like the cable ends up unevenly placed on my neck.
1,"Bluetooth Headphones, Otium Wireless Sports Earphones w/ Mic IPX7...",5.0 out of 5 stars,"lovely , sound is crystal clear during phone call"
2,"Bluetooth Headphones, Otium Wireless Sports Earphones w/ Mic IPX7...",5.0 out of 5 stars,Messed up my first review so lets try again. Everything came in fine and once I figured out the pairing the sound is actually the best I have had from ear bud headphones. Solid product. Loved my old cheaper Otiums too.
3,"Bluetooth Headphones, Otium Wireless Sports Earphones w/ Mic IPX7...",1.0 out of 5 stars,"Very disappointed. Bought 2, one for the hubby and one for me. Hubbys still worked great, but mine crapped out after a month. Won’t turn on, won’t charge. Now can’t return for refund because it’s outside the refund date."
4,"Bluetooth Headphones, Otium Wireless Sports Earphones w/ Mic IPX7...",5.0 out of 5 stars,"Works great, good sound and nice microphone."
5,"Bluetooth Headphones, Otium Wireless Sports Earphones w/ Mic IPX7...",1.0 out of 5 stars,The magnets on the earbuds are so big and heavy they won't stay in my ears. I would have returned them but I had to pay shipping and wouldn't get most of my money back. Very disappointed.
6,"Bluetooth Headphones, Otium Wireless Sports Earphones w/ Mic IPX7...",5.0 out of 5 stars,Most satisfied I have ever been with a product ever!These are just amazing headphones for under $30. I can run with them and the sound quality is quite good. Certainly worth the money!
7,"Bluetooth Headphones, Otium Wireless Sports Earphones w/ Mic IPX7...",5.0 out of 5 stars,"Comfortable feel, no trouble pairing with Android, no static/noise, battery lasts more than expected. What else could you possibly ask for?"
8,"Bluetooth Headphones, Otium Wireless Sports Earphones w/ Mic IPX7...",5.0 out of 5 stars,"A gift for my niece, she said she loved it"
